City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Marsa Matruh,EG,31.3525,27.2453,65.43,61,2,8.88,clear sky
1,Mar Del Plata,AR,-38.0023,-57.5575,66.09,90,98,8.99,overcast clouds
2,Mutis,CO,6.2262,-77.4044,76.53,88,100,2.48,overcast clouds
3,Dutse,NG,11.7594,9.3392,70.09,31,76,5.97,broken clouds
4,Punta Arenas,CL,-53.15,-70.9167,44.71,65,0,6.91,clear sky
5,Tiksi,RU,71.6872,128.8694,-16.73,100,90,7.36,overcast clouds
6,Luderitz,NA,-26.6481,15.1594,56.28,83,26,5.1,scattered clouds
7,Grindavik,IS,63.8424,-22.4338,41.47,93,75,11.5,broken clouds
8,Luau,AO,-10.7073,22.2247,63.64,99,100,3.24,overcast clouds
9,Ratlam,IN,23.3167,75.0667,65.41,48,1,7.38,clear sky
10,Rikitea,PF,-23.1203,-134.9692,74.44,87,97,14.0,overcast clouds
11,Busselton,AU,-33.65,115.3333,59.34,50,99,11.92,overcast clouds
12,Saskylakh,RU,71.9167,114.0833,-23.75,100,95,0.16,overcast clouds
13,Soyo,AO,-6.1349,12.3689,76.42,81,81,7.18,broken clouds
14,Maniitsoq,GL,65.4167,-52.9,21.16,68,100,8.72,overcast clouds
15,Nikolskoye,RU,59.7035,30.7861,53.49,92,100,11.34,overcast clouds
16,Hobart,AU,-42.8794,147.3294,61.27,62,20,17.27,few clouds
17,Bluff,NZ,-46.6,168.3333,58.8,73,100,10.58,overcast clouds
18,Puerto Palomas,MX,31.7667,-107.6167,52.7,23,100,9.69,overcast clouds
19,Qaanaaq,GL,77.484,-69.3632,-4.13,66,0,8.01,clear sky
20,Kenai,US,60.5544,-151.2583,37.49,92,100,11.5,light rain
21,Severo-Kurilsk,RU,50.6789,156.125,35.35,68,96,24.56,overcast clouds
22,Ushuaia,AR,-54.8,-68.3,44.26,65,20,17.27,few clouds
23,Charlestown,AU,-32.95,151.6667,78.58,82,33,3.0,scattered clouds
24,Bonthe,SL,7.5264,-12.505,77.49,81,10,4.76,clear sky
25,Ketchikan,US,55.3422,-131.6461,41.47,93,100,0.0,light rain
26,Provideniya,RU,64.3833,-173.3,15.62,67,0,8.99,clear sky
27,New Norfolk,AU,-42.7826,147.0587,60.93,45,90,4.0,overcast clouds
28,Vardo,NO,70.3705,31.1107,39.34,95,100,6.42,overcast clouds
29,Hilo,US,19.7297,-155.09,80.33,66,100,13.8,overcast clouds
30,Bowen,AU,-20.0167,148.2333,79.83,59,0,11.07,clear sky
31,San Policarpo,PH,12.1791,125.5072,83.68,80,9,9.55,clear sky
32,Saint-Philippe,RE,-21.3585,55.7679,71.19,76,7,6.15,clear sky
33,Avarua,CK,-21.2078,-159.775,77.05,65,40,9.22,scattered clouds
34,Bredasdorp,ZA,-34.5322,20.0403,64.58,85,98,5.41,overcast clouds
35,Olympia,US,47.0379,-122.9007,47.12,81,40,4.61,scattered clouds
36,Yeniseysk,RU,58.4497,92.1703,26.71,94,100,8.21,light snow
37,Mahebourg,MU,-20.4081,57.7,71.89,78,20,4.61,few clouds
